sr_no,district,longitude,latitude,landuse_landcover,geomorphology,length_m,area_sqm,toposheet,object_id
1,Bilaspur,76.5401,31.305,Moderate vegetation,Lowly dissected hill,143.181986,1212.666389,53A11,3733
2,Bilaspur,76.6187,31.2684,Sparsely vegetated,Lowly dissected hill,183.253489,2119.768813,53A11,3734
3,Bilaspur,76.6149,31.2649,Sparsely vegetated,Lowly dissected hill,249.176363,3617.578862,53A11,3735
4,Bilaspur,76.5439,31.2835,Sparsely vegetated,Lowly dissected hill,318.679988,5900.883239,53A11,3736
5,Bilaspur,76.5712,31.2833,Sparsely vegetated,Lowly dissected hill,125.649048,960.658506,53A11,3737
6,Bilaspur,76.5295,31.2854,Sparsely vegetated,Lowly dissected hill,229.75698,3720.481415,53A11,3738
7,Bilaspur,76.5398,31.2833,Sparsely vegetated,Lowly dissected hill,203.777771,2610.492169,53A11,3739
8,Bilaspur,76.5372,31.285,Sparsely vegetated,Lowly dissected hill,386.179818,8782.214117,53A11,3740
9,Bilaspur,76.5422,31.2831,Sparsely vegetated,Lowly dissected hill,201.524926,2790.456403,53A11,3741
10,Bilaspur,76.5454,31.2838,Sparsely vegetated,Lowly dissected hill,162.583513,1716.442755,53A11,3742
11,Bilaspur,76.6026,31.2642,Sparsely vegetated,Lowly dissected hill,130.676045,1092.057951,53A11,3743
12,Bilaspur,76.603,31.2701,Sparsely vegetated,Lowly dissected hill,90.310462,487.051691,53A11,3744
13,Bilaspur,76.5428,31.288,Sparsely vegetated,Lowly dissected hill,78.147675,395.934617,53A11,3745
14,Bilaspur,76.5465,31.2837,Sparsely vegetated,Lowly dissected hill,78.012037,371.063291,53A11,3746
15,Bilaspur,76.5469,31.2834,Sparsely vegetated,Lowly dissected hill,68.426541,300.088399,53A11,3747
16,Bilaspur,76.5366,31.3014,Moderate vegetation,Lowly dissected hill,218.950652,3084.110331,53A11,3748
17,Bilaspur,76.5392,31.2985,Moderate vegetation,Lowly dissected hill,71.66711,347.229397,53A11,3749
18,Bilaspur,76.5433,31.3038,Sparsely vegetated,Lowly dissected hill,231.880248,3465.12492,53A11,3750
19,Bilaspur,76.5423,31.3013,Sparsely vegetated,Lowly dissected hill,66.138428,291.109029,53A11,3751
20,Bilaspur,76.5423,31.3034,Sparsely vegetated,Lowly dissected hill,110.630659,803.110801,53A11,3752
21,Bilaspur,76.5446,31.3042,Sparsely vegetated,Lowly dissected hill,122.157834,985.238228,53A11,3753
22,Bilaspur,76.6246,31.2788,Sparsely vegetated,Lowly dissected hill,245.268059,3637.929513,53A11,4103
23,Bilaspur,76.6226,31.279,Sparsely vegetated,Lowly dissected hill,205.423885,2704.796828,53A11,4104
24,Bilaspur,76.4055,31.4067,Moderate vegetation,Moderately dissected hill,171.539693,1876.321452,53A07,4105
25,Bilaspur,76.728,31.4644,Thick vegetation,Moderately dissected hill,142.301543,1302.042577,53A11,4106
26,Bilaspur,76.4255,31.4067,Sparsely vegetated,Moderately dissected hill,143.261562,1361.934165,53A07,4109
27,Bilaspur,76.6775,31.4089,Thick vegetation,Lowly dissected hill,109.248645,513.45543,53A11,4110
28,Bilaspur,76.6805,31.3633,Moderate vegetation,Lowly dissected hill,180.378848,2073.25762,53A11,4111
29,Bilaspur,76.6685,31.3922,Moderate vegetation,Lowly dissected hill,168.789943,1798.414165,53A11,4112
30,Bilaspur,76.7179,31.4019,Moderate vegetation,Lowly dissected hill,140.335522,1166.666643,53A11,4113
31,Bilaspur,76.7139,31.409,Moderate vegetation,Lowly dissected hill,172.661869,1881.371919,53A11,4114
32,Bilaspur,76.3416,31.5868,Moderate vegetation,Lowly dissected hill,77.869873,384.175499,53A06,4115
33,Bilaspur,76.34,31.5874,Moderate vegetation,Lowly dissected hill,113.67996,758.264207,53A06,4116
34,Bilaspur,76.5416,31.3045,Sparsely vegetated,Lowly dissected hill,149.839806,1457.614071,53A11,4124
35,Bilaspur,76.6725,31.409,Sparsely vegetated,Lowly dissected hill,77.641276,339.121941,53A11,4125
